# x (km)              y (km)
 28105.451261838360   2481.710560046734
 28324.447355506778   2658.506086256654
 29287.829353537611   3453.824587665072
 30038.624960657769   4094.113597629666
 30765.102753551695   4731.093308471757
 31468.551209978534   5364.535866011405
 32150.145306785515   5994.256531241223
 32810.959846100784   6620.106085529808
 33451.980868815794   7241.964695985836
 34074.115474219609   7859.736930322941
 34678.200304996986   8473.347683156864
 35265.008909352728   9082.738829820993
 35835.258154107534   9687.866464543760
 36389.613832166659  10288.698610762087
 36928.695583203043  10885.213315002818
 37453.081226489965  11477.397053992334
 37963.310588607557  12065.243398799024
 38459.888895486416  12648.751890860120
 38943.289787354908  13227.927093427286
 39170.730277036535  13504.630658855061
 39375.380659993316  13755.863134813901
 39577.667874619881  14006.269948861640
 39777.625600235588  14255.852286225358
 39975.286652025279  14504.611433820601
 40170.683011683243  14752.548772453236
 40363.845856680156  14999.665769542744
 40554.805588227311  15245.963972329677
 40743.591858007989  15491.445001533140
 40930.233593741104  15736.110545426647
 41042.473300646096  15885.599887181315
 41511.354732015629  16519.082211383891
 41911.953322018024  17071.048576966346
 42302.243314976091  17618.816122764249
 42682.509104843863  18162.408504018629
 43053.020840998572  18701.850162115257
 43414.035405845469  19237.166147551503
 43765.797307942281  19768.381967431098
 44108.539499360355  20295.523454059588
 44442.484124961295  20818.616651725599
 44767.843210368832  21337.687719181638
 45084.819294635599  21852.762845699825
 45393.606012925600  22363.868178882018
 45694.388633940587  22871.029762661405
 45987.344556301447  23374.273484151148
 46272.643767641508  23873.625028180802
 46550.449269770281  24369.109838520031
 46820.917472916146  24860.753084923297
 47084.198561746074  25348.579635245547
 47340.436835588618  25832.614031977464
 47589.771025043432  26312.880472634370
 47832.334586946497  26789.402793505898
 48068.255979469424  27262.204456337062
 48297.658918961592  27731.308537565870
 48520.662619992094  28196.737719789988
 48737.382019913806  28658.514285175992
 48947.927989150434  29116.660110560337
 49152.407528299278  29571.196664022362
 49350.923953044934  30022.145002736292
 49543.577067791979  30469.525771933171
 49730.463328845406  30913.359204823744
 49911.675997897451  31353.665123351988
 50087.305286514398  31790.462939663834
 50257.438492259920  32223.771658190301
 50422.160127038449  32653.609878255804
 50581.552038194939  33079.995797133313
 50735.693522864131  33502.947213477259
 50884.661436023271  33922.481531073463
 51028.530292666634  34338.615762852496
 51167.372364487783  34751.366535119341
 51301.257771425880  35160.750091957831
 51430.254568405202  35566.782299773346
 51554.428827573080  35969.478651941754
 51673.844716317471  36368.854273536199
 51788.564571326518  36764.923926107083
 51898.648968931993  37157.702012493457
 52004.156791962087  37547.202581646838
 52105.145293312555  37933.439333450660
 52201.670156430875  38316.425623521049
 52293.785552894362  38696.174467976030
 52381.544197250965  39072.698548162291
 52464.997399279709  39446.010215329930
 52544.195113817666  39816.121495246916
 52619.185988289995  40183.044092746284
 52690.017408071195  40546.789396199914
 52756.735539796689  40907.368481913683
 52819.385372737037  41264.792118439880
 52878.010758338780  41619.070770802842
 52901.555621967440  41767.648384636697
 52954.531456413788  42117.472186268897
 53003.584565448218  42464.175117617480
 53048.755183037276  42807.766635751155
 53090.082560585630  43148.255911793029
 53127.604998096300  43485.651834637101
 53161.359874030873  43819.963014566551
 53191.383673935081  44151.197786773948
 53217.712017891186  44479.364214782385
 53240.379686855209  44804.470093768330
 53259.420647933301  45126.522953785570
 53274.868078648899  45445.530062891121
 53286.754390249182  45761.498430173328
 53295.111250096234  46074.434808682592
 53299.969603186539  46384.345698265526
 53301.359692839178  46691.237348303184
 53299.311080591666  46995.115760354121
 53293.852665339429  47295.986690703190
 53285.012701753818  47593.855652816725
 53272.818818010848  47888.727919705365
 53257.298032861945  48180.608526194963
 53238.476772075555  48469.502271107012
 53216.380884277605  48755.413719349061
 53191.035656217013  49038.347203916353
 53162.465827480977  49318.306827805471
 53130.695604684035  49595.296465840860
 53095.748675152914  49869.319766415334
 53057.648220128896  50140.380153145124
 53016.416927507555  50408.480826440617
 52972.077004135404  50673.624764993299
 52924.650187681582  50935.814727180106
 52874.157758101959  51195.053252385442
 52820.620548712424  51451.342662242023
 52764.058956886678  51704.685061790944
 52704.492954394125  51955.082340561828
 52641.942097391591  52202.536173573426
 52576.425536082861  52447.048022255542
 52507.962024058776  52688.619135292502
 52436.569927330536  52927.250549388831
 52362.267233067672  53162.943089957625
 52285.071558052266  53395.697371731672
 52175.482497714111  53671.536139113581
 52091.801245275914  53897.710451200284
 52005.280691689484  54120.945984549973
 51915.936978330828  54341.242460728427
 51823.785916041903  54558.599392415432
 51728.842992043603  54773.016083539609
 51631.123376632386  54984.491629337237
 51530.641929668527  55193.024916335497
 51427.413206863399  55398.614622259825
 51321.451465872575  55601.259215865248
 51212.770672202096  55800.956956691545
 51101.384504933929  55997.705894741986
 50987.306362277261  56191.503870085406
 50870.549366951353  56382.348512381068
 50751.126371405837  56570.237240326089
 50629.049962884004  56755.167261024806
 50504.332468334236  56937.135569279650
 50376.985959174861  57116.138946802756
 50247.022255917022  57292.173961347813
 50114.452932650674  57465.236965761360
 49979.289321397722  57635.324096952507
 49841.542516337024  57802.431274780669
 49701.223377905197  57966.554200859777
 49558.342536777287  58127.688357278545
 49412.910397731226  58285.829005235144
 49264.937143399664  58440.971183585621
 49114.432737912808  58593.109707304349
 48961.406930435689  58742.239165855521
 48805.869258603263  58888.353921474198
 48647.829051856352  59031.448107355252
 48487.295434681670  59171.515625748885
 48324.277329758843  59308.550145960762
 48227.814484013463  59387.265355758631
 48042.054022124204  59533.517774587810
 47884.378665301789  59652.940287478123
 47724.609423142836  59769.753405531686
 47562.752644586464  59883.951223216252
 47398.814543890905  59995.527656407452
 47232.801202387214  60104.476440582934
 47064.718570187651  60210.791128948062
 46894.572467850092  60314.465090491220
 46722.368587999787  60415.491507967912
 46548.162740192245  60513.926435216854
 46454.461708723196  60565.266480519560
 46360.180182736018  60615.849451631817
 46265.318961640820  60665.674221480338
 46169.878835026997  60714.739647247428
